Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Action,act001,dive,1,0,0,1,0.5,1,0,0,0,938,401,938,401,NA,NA,NA,1,4,Absent,2.639,3,16005,0,Singular,3,FALSE
Action,act002,drink,0.96,0,0.04,2,0.769,0.875,0,0.125,0,888,204,848,132,NA,1170,NA,1,5,Absent,4.868,1,25613,0,Singular,3,FALSE
Action,act003,paint,0.96,0,0.04,1,0.508,1,0,0,0,994,245,994,245,NA,NA,NA,1,5,Absent,4.29,2,22022,0,Singular,3,FALSE
Action,act004,ski,0.6,0.04,0.36,2,0.627,0.933,0.067,0,0,1050,271,1053,281,1009,NA,NA,1,3,Present,1.946,3,17193,0,Singular,4,FALSE
Action,act005,cut,1,0,0,1,0.5,1,0,0,0,1065,278,1065,278,NA,NA,NA,1,3,Absent,5.252,2,15235,1,Singular,3,FALSE
Action,act006,blow,0.96,0,0.04,1,0.508,1,0,0,0,974,253,974,253,NA,NA,NA,1,4,Absent,4.443,1,19790,0,Singular,3,FALSE
Action,act007,argue,0.94,0.04,0.02,7,1.817,0.574,0,0.043,0.383,1501,518,1415,479,NA,1850,1590,2,5,Absent,4.787,3,23082,0,Singular,2,FALSE
Action,act008,walk,0.76,0.14,0.1,7,2.004,0.447,0,0,0.553,1826,647,1799,591,NA,NA,1848,1,4,Absent,5.737,1,23319,1,Singular,4,FALSE
Action,act009,fly,0.94,0.06,0,12,2.656,0.426,0,0,0.574,1517,514,1282,442,NA,NA,1691,1,3,Present,4.575,3,27331,1,Singular,2,FALSE
Action,act010,wakeup,0.88,0.08,0.04,8,2.22,0.364,0.5,0.091,0.045,1711,585,1533,498,1738,1713,2845,2,6,Absent,0,3,26195,0,Complex,4,FALSE
Action,act011,win,0.82,0.08,0.1,10,2.325,0.366,0.024,0,0.61,1623,491,1579,386,1754,NA,1645,1,3,Absent,5.043,3,22180,1,Singular,3,FALSE
Action,act012,bake,0.92,0.04,0.04,6,1.68,0.478,0,0,0.522,1487,487,1360,301,NA,NA,1603,1,4,Absent,3.219,3,17724,0,Singular,3,FALSE
Action,act013,balance,0.76,0.18,0.06,10,2.249,0.421,0,0,0.579,1912,667,1816,762,NA,NA,1982,2,7,Absent,3.367,3,28045,0,Singular,3,FALSE
Action,act014,bark,0.96,0.02,0.02,1,0.057,1,0,0,0,949,275,949,275,NA,NA,NA,1,4,Absent,2.398,3,18031,0,Singular,2,FALSE
Action,act015,beg,0.98,0.02,0,4,0.548,0.918,0,0,0.082,1348,379,1292,299,NA,NA,1981,1,3,Absent,3.434,3,17686,0,Singular,3,FALSE
Action,act016,bite,1,0,0,3,0.282,0.96,0,0.02,0.02,1015,307,993,285,NA,1190,1880,1,4,Absent,3.332,1,24562,1,Singular,2,FALSE
Action,act017,sniff,0.78,0.22,0,12,2.674,0.231,0,0.154,0.615,1863,645,1490,537,NA,1539,2083,1,5,Present,2.639,3,19855,0,Singular,3,FALSE
Action,act018,boil,0.96,0,0.04,4,1.188,0.688,0,0,0.313,1272,339,1209,242,NA,NA,1412,1,4,Absent,3.784,3,30327,0,Singular,3,FALSE
Action,act019,bounce,0.98,0,0.02,3,0.868,0.816,0,0.122,0.061,917,261,880,218,NA,1141,974,1,6,Absent,2.833,3,18068,0,Singular,2,FALSE
Action,act020,bow,0.96,0.02,0.02,4,0.574,0.917,0,0,0.083,1169,360,1105,298,NA,NA,1876,1,3,Absent,2.833,3,15564,0,Singular,2,FALSE
Action,act021,bowl,0.98,0.02,0,2,0.354,0.939,0,0,0.061,891,262,856,208,NA,NA,1431,1,4,Absent,2.639,3,16487,0,Singular,2,FALSE
Action,act022,box,0.98,0,0.02,3,0.868,0.816,0,0,0.184,967,249,963,254,NA,NA,983,1,3,Absent,0.693,3,16757,0,Singular,2,FALSE
Action,act023,break,0.98,0.02,0,5,0.881,0.857,0,0,0.143,1484,634,1399,615,NA,NA,1992,1,5,Absent,5.438,1,21546,1,Singular,2,FALSE
