Picture_Number,Picture_Identity,Synonyms
obj001,accordion,"piano, instrument,"
obj002,acorn,
obj003,airplane,"jet, plane, jetplane, airliner, aircraft,"
obj004,alligator,"crocodile, lizard,"
obj005,anchor,"ship, boat,"
obj006,ant,"insect,"
obj007,antlers,"moose, horn, deer, spike,"
obj008,anvil,
obj009,apple,"fruit,"
obj010,fishtank,"fish, aquarium, tank,"
obj011,arm,"forearm, hand, body,"
obj012,arrow,
obj013,artichoke,"asparagus, cauliflower,"
obj014,ashtray,
obj015,asparagus,"artichoke,"
obj016,ax,"tomahawk, hatchet, axe,"
obj017,baby,"infant,"
obj018,bottle,"baby bottle,"
obj019,stroller,
obj020,backpack,"knapsack, bag, rucksack,"
obj021,badge,
obj022,bag,"lunch bag,"
obj023,balcony,"porch, veranda, terrace, window, windows,"
obj024,ball,"rattle,"
obj025,balloon,
obj026,banana,"fruit,"
obj027,bandaid,"bandage,"
obj028,banjo,"guitar, instrument,"
obj029,barbecue,"grill, griddle,"
obj030,barrel,
obj031,basket,"box, bag, crate, picnic basket,"
obj032,bat,
obj033,bathtub,"bath, tub,"
obj034,bear,"grizzly,"
obj035,beard,"facial hair,"
obj036,beaver,"otter,"
obj037,bed,
obj038,bee,"bug, fly,"
obj039,bug,"beetle,"
obj040,bell,
obj041,belt,
obj042,bench,"seat, chair,"
obj043,bicycle,"bike,"
obj044,binoculars,"telescope,"
obj045,bird,"sparrow, finch, robin, swallow, crow,"
obj046,blimp,"airship, hot air balloon,"
obj047,wood,"plank, platform, timber, slab, harmonica, wood plank,"
obj048,boat,"ship, craft,"
obj049,bomb,"TNT, explosive, grenade,"
obj050,bone,
obj051,book,"novel, textbook, bible,"
obj052,boot,"shoe, cowboy boot,"
obj053,bottle,"beer, water, glass, jug,"
obj054,bowl,"cup, dish,"
obj055,bow,"bowtie, ribbon,"
obj056,box,"package, carton,"
obj057,boy,"child, kid, youngster, youth, son, minor,"
obj058,branch,"tree, leaf, leaves, bark, twig, extension, branches,"
obj059,bra,"bikini,"
obj060,bread,"loaf, toast,"
obj061,bride,"wedding, woman, dress, gown, mate, newlywed, spouse, wife,"
obj062,bridge,"Golden Gate Bridge, overpass,"
obj063,broom,"mop, sweeper,"
obj064,brush,"hair brush, comb,"
obj065,bus,"bus driver, driver, public transportation,"
obj066,butter,"plate, oil, margarine, spread,"
obj067,butterfly,"moth,"
obj068,button,
obj069,cactus,"cacti, cactuses,"
obj070,cage,"crate, pen, empty,"
obj071,cake,"bite, bitten, wedding cake, dessert, eaten,"
obj072,camel,"hump, humps, llama, goat,"
obj073,camera,"digital camera, lens,"
obj074,can,"tomatoes, tomato, container, canister, tin, open can, opened can,"
obj075,candle,"light,"
obj076,cane,"club, walker, walking stick, pole, hook,"
