transcript,confidence,languageCode,channelTag,Participant,Trial,preciseStartTime,preciseEndTime,Picture_Identity,Picture_Label,Task_Side,Response_Time_in_PsychoPy,Response_Finish_in_PsychoPy,Stim_Onset,Block,Stim_Offset_Fix_Onset,Fix_Offset,Task,Picture_Number,First_Congruency,FrameRate,V17,Synonyms,Congruency,End_recording,Block_Bias,Task_Side_Bias
lawnmower,0.9486762,en-us,NA,1,1,1.72,2.18,lawnmower,plate,-7,1.7136274,0,74.2097432,1,76.5405937,51.821412,Predictive Locations,obj235,Even_Split,59.95818516,NA,"mower, cutter, trimmer, lawnmower, plate",Incongruent,80.7937413,NA,Incongruent
picture,0.98762906,en-us,NA,1,2,1.97,2.115,picture,present,-7,1.1944157,1.2263148,80.7996938,1,82.8954934,80.7937413,Predictive Locations,obj315,Even_Split,59.95818516,NA,"painting, drawing, boat, ship, decor, art, oil panting, picture, present",Incongruent,86.648249,NA,Incongruent
shell,0.9705325,en-us,NA,1,3,1.185,1.35,shell,shell,-7,1.0667935,0,86.6540729,1,88.7505854,86.648249,Predictive Locations,obj390,Even_Split,59.95818516,NA,"seashell, shell",Congruent,89.900759,NA,Incongruent
brush,0.9743147,en-us,NA,1,4,NA,NA,brush,brush,7,1.1574556,0,89.9063911,1,92.0025159,89.900759,Predictive Locations,obj191,Even_Split,59.95818516,NA,"hair brush, comb, brush",Congruent,93.6536539,NA,Congruent
banana,0.98762906,en-us,NA,1,5,1.16,1.55,banana,banana,-7,1.1511213,0,93.6593798,1,95.7554019,93.6536539,Predictive Locations,obj026,Even_Split,59.95818516,NA,"fruit, banana",Congruent,97.1063113,NA,Incongruent
nose,0.9792424,en-us,NA,1,6,1.09,1.305,nose,lock,-7,1.0400386,0,97.111991,1,99.2080673,97.1063113,Predictive Locations,obj283,Even_Split,59.95818516,NA,"snout, nostril, nostrils, sniff, nose, lock",Incongruent,100.0585446,NA,Incongruent
stove,0.98762906,en-us,NA,1,7,1.38,1.605,stove,stove,7,1.2064564,0,100.0641911,1,102.1606407,100.0585446,Predictive Locations,obj426,Even_Split,59.95818516,NA,"oven, boiler, cooker, furnace, stove",Congruent,104.3118504,NA,Congruent
airplane,0.98762906,en-us,NA,1,8,NA,NA,airplane,airplane,7,0.9946881,0,104.3176783,1,106.4136088,104.3118504,Predictive Locations,obj003,Even_Split,59.95818516,NA,"jet, plane, jetplane, airliner, aircraft, airplane",Congruent,108.1648648,NA,Congruent
octopus,0.98762906,en-us,NA,1,9,1.26,1.505,octopus,octopus,7,0.8887229,1.0421265,108.1705881,1,110.266604,108.1648648,Predictive Locations,obj286,Even_Split,59.95818516,NA,"tentacles, squid, giant squid, octopus",Congruent,111.1171337,NA,Congruent
necklace,0.9573041,en-us,NA,1,10,1.195,1.735,necklace,bricks,-7,1.1850308,0,111.1226885,1,113.2188627,111.1171337,Predictive Locations,obj279,Even_Split,59.95818516,NA,"choker, jewelry, beads, pearls, pearl necklace, necklace, bricks",Incongruent,115.2704686,NA,Incongruent
